	t1	t1.1	t10	t10.1	len(kb)
EC01288_0159	0	0	0	0	0.824
EC01288_0160	0	0	0	0	2.672
EC01288_0161	372	74	39	338	0.794
EC01288_0162	0	0	0	0	0.725
EC01288_0163	0	0	0	0	0.251
EC01288_0164	0	0	0	0	0.851
EC01288_0165	0	0	0	0	0.725
EC01288_0166	0	0	0	0	0.557
EC01288_0167	0	0	0	0	1.196
EC01288_0168	0	0	0	0	0.689
EC01288_0169	0	0	0	0	0.152
EC01288_0170	0	0	0	0	0.68
EC01288_0171	0	0	0	0	1.352
EC01288_0172	0	0	0	0	2.432
EC01288_0173	0	0	0	0	0.485
EC01288_0174	0	0	0	0	1.025
EC01288_0175	0	0	0	0	0.455
EC01288_0176	0	0	0	0	0.788
EC01288_0177	0	0	0	0	1.148
EC01288_0178	0	0	0	0	0.596
EC01288_0179	0	0	0	0	3.434
EC01288_0180	0	0	0	0	0.959
EC01288_0181	0	0	0	0	2.141
EC01288_0182	0	0	0	0	0.389
EC01288_0183	0	0	0	0	1.298
EC01288_0184	0	0	0	0	0.254
EC01288_0185	0	0	0	0	0.2
EC01288_0186	0	0	0	0	0.545
EC01288_0187	0	0	0	0	0.422
EC01288_0188	0	0	0	0	0.71
EC01288_0189	0	0	0	0	1.529
EC01288_0190	0	0	0	0	0.076
EC01288_0191	0	0	0	0	0.075
EC01288_0192	0	0	0	0	0.312
EC01288_0193	0	0	0	0	0.119
EC01288_0194	0	0	0	0	0.114
EC01288_0195	0	0	0	0	0.076
EC01288_0196	0	0	0	0	0.803
EC01288_0197	0	0	0	0	0.914
EC01288_0198	0	0	0	0	0.779
EC01288_0199	0	0	0	0	0.77
EC01288_0200	0	0	0	0	1.055
EC01288_0201	0	0	0	0	0.755
EC01288_0202	0	0	0	0	0.722
EC01288_0203	0	0	0	0	0.467
EC01288_0204	32	63	32	63	0.731
EC01288_0205	0	0	0	0	0.076
EC01288_0206	0	0	0	0	0.755
EC01288_0207	0	0	0	0	0.914
EC01288_0208	0	0	0	0	0.482
EC01288_0209	0	0	0	0	1.352
EC01288_0210	0	0	0	0	3.464
EC01288_0211	0	0	0	0	1.412
EC01288_0212	0	0	0	0	0.581
EC01288_0213	0	0	0	0	0.185
EC01288_0214	0	0	0	0	2.765
EC01288_0215	0	0	0	0	0.761
EC01288_0216	0	0	0	0	1.292
EC01288_0217	0	0	0	0	0.524
EC01288_0218	0	0	0	0	1.28
EC01288_0219	0	0	0	0	1.082
EC01288_0220	0	0	0	0	1.85
EC01288_0221	0	0	0	0	0.14
EC01288_0222	0	0	0	0	1.475
EC01288_0223	0	0	0	0	0.164
EC01288_0224	0	0	0	0	0.413
EC01288_0225	0	0	0	0	0.128
EC01288_0226	0	0	0	0	0.143
EC01288_0227	0	0	0	0	0.518
EC01288_0228	0	0	0	0	0.137
EC01288_0229	0	0	0	0	0.185
EC01288_0230	0	0	0	0	1.067
EC01288_0231	0	0	0	0	0.8
EC01288_0232	0	0	0	0	1.586
EC01288_0233	0	0	0	0	0.926
EC01288_0234	0	0	0	0	0.233
EC01288_0235	0	0	0	0	0.746
EC01288_0236	0	0	0	0	0.22
EC01288_0238	0	0	0	0	0.236
EC01288_0239	0	0	0	0	0.179
EC01288_0240	0	0	0	0	0.125
EC01288_0241	0	0	0	0	3.989
EC01288_0242	0	0	0	0	0.365
EC01288_0243	0	0	0	0	0.191
EC01288_0244	0	0	0	0	0.272
EC01288_0245	0	0	0	0	0.356
EC01288_0246	0	0	0	0	0.881
EC01288_0247	0	0	0	0	1.697
EC01288_0248	0	0	0	0	1.136
EC01288_0249	0	0	0	0	0.128
EC01288_0250	0	0	0	0	0.188
EC01288_0251	0	0	0	0	0.319
EC01288_0252	0	0	0	0	0.125
EC01288_0253	0	0	0	0	4.958
EC01288_0254	0	0	0	0	1.547
EC01288_0255	0	0	0	0	0.275
EC01288_0256	0	0	0	0	0.578
EC01288_0257	0	0	0	0	1.415
EC01288_0258	0	0	0	0	0.719
EC01288_0259	0	0	0	0	1.403
EC01288_0260	0	0	0	0	0.767
EC01288_0261	0	0	0	0	0.446
EC01288_0262	0	0	0	0	2.444
EC01288_0263	0	0	0	0	0.578
EC01288_0264	0	0	0	0	0.767
EC01288_0265	0	0	0	0	0.74
EC01288_0266	0	0	0	0	0.203
EC01288_0267	0	0	0	0	0.26
EC01288_0268	0	0	0	0	0.626
EC01288_0269	0	0	0	0	0.308
EC01288_0270	0	0	0	0	1.739
EC01288_0271	0	0	0	0	0.77
EC01288_0272	0	0	0	0	1.055
EC01288_0273	0	0	0	0	0.374
EC01288_0274	0	0	0	0	1.139
EC01288_0275	0	0	0	0	0.614
EC01288_0276	0	0	0	0	0.524
EC01288_0277	0	0	0	0	0.281
EC01288_0278	0	0	0	0	1.457
EC01288_0279	0	0	0	0	0.458
EC01288_0280	0	0	0	0	1.244
EC01288_0281	0	0	0	0	0.368
EC01288_0282	0	0	0	0	1.055
EC01288_0283	0	0	0	0	1.103
EC01288_0284	0	0	0	0	1.253
EC01288_0285	0	0	0	0	0.075
EC01288_0286	0	0	0	0	0.956
EC01288_0287	0	0	0	0	2.198
EC01288_0288	0	0	0	0	0.956
EC01288_0289	0	0	0	0	0.509
EC01288_0290	0	0	0	0	0.614
EC01288_0291	0	0	0	0	0.212
EC01288_0292	0	0	0	0	0.656
EC01288_0293	0	0	0	0	1.643
EC01288_0294	0	0	0	0	2.525
EC01288_0295	0	0	0	0	0.668
EC01288_0296	0	0	0	0	0.587
EC01288_0297	0	0	0	0	0.542
EC01288_0298	0	0	0	0	0.14
EC01288_0299	0	0	0	0	4.253
EC01288_0300	0	0	0	0	0.641
EC01288_0301	37	280	315	69	0.593
EC01288_0302	0	0	0	0	0.236
EC01288_0303	0	0	0	0	1.325
EC01288_0304	0	0	0	0	0.854
EC01288_0305	0	0	0	0	0.719
EC01288_0306	0	0	0	0	1.427
EC01288_0307	0	0	0	0	0.695
EC01288_0308	0	0	0	0	0.668
EC01288_0309	0	0	0	0	1.67
EC01288_0310	0	0	0	0	1.463
EC01288_0311	0	0	0	0	0.587
EC01288_0312	0	0	0	0	2.033
EC01288_0313	0	0	0	0	4.049
EC01288_0314	0	0	0	0	0.74
EC01288_0315	0	0	0	0	0.932
EC01288_0316	0	0	0	0	0.47
EC01288_0317	0	0	0	0	0.605
EC01288_0318	0	0	0	0	0.863
EC01288_0319	0	0	0	0	1.547
EC01288_0320	0	0	0	0	1.418
EC01288_0321	0	0	0	0	0.95
EC01288_0322	0	0	0	0	1.382
EC01288_0323	0	0	0	0	0.44
EC01288_0324	0	0	0	0	0.983
EC01288_0325	0	0	0	0	1.484
EC01288_0326	0	0	0	0	0.971
EC01288_0327	0	0	0	0	0.956
EC01288_0328	0	0	0	0	1.049
EC01288_0329	0	0	0	0	0.815
EC01288_0330	0	0	0	0	0.08
EC01288_0331	0	0	0	0	0.632
EC01288_0332	0	0	0	0	0.275
EC01288_0333	0	0	0	0	0.122
EC01288_0334	0	0	0	0	1.586
EC01288_0335	0	0	0	0	0.89
EC01288_0336	0	0	0	0	1.169
EC01288_0337	0	0	0	0	1.451
EC01288_0338	0	0	0	0	1.886
EC01288_0339	0	0	0	0	1.181
EC01288_0340	0	0	0	0	1.283
EC01288_0341	0	0	0	0	0.899
EC01288_0342	0	0	0	0	0.659
EC01288_0343	0	0	0	0	0.47
EC01288_0344	0	0	0	0	1.181
EC01288_0345	0	0	0	0	0.611
EC01288_0346	0	0	0	0	1.007
EC01288_0347	0	0	0	0	3.074
EC01288_0348	0	0	0	0	1.091
EC01288_0349	235	235	235	235	0.833
EC01288_0350	0	0	0	0	1.664
EC01288_0351	0	0	0	0	0.944
EC01288_0352	0	0	0	0	0.881
EC01288_0353	0	0	0	0	0.809
EC01288_0354	0	0	0	0	0.95
EC01288_0355	0	0	0	0	1.013
EC01288_0356	0	0	0	0	1.211
EC01288_0357	0	0	0	0	0.539
EC01288_0358	0	0	0	0	0.833
EC01288_0359	0	0	0	0	1.109
EC01288_0360	0	0	0	0	0.119
EC01288_0361	0	0	0	0	0.773
EC01288_0362	0	0	0	0	0.44
EC01288_0363	0	0	0	0	1.196
EC01288_0364	0	0	0	0	0.671
EC01288_0365	0	0	0	0	0.962
EC01288_0366	0	0	0	0	0.767
EC01288_0367	0	0	0	0	0.827
EC01288_0368	0	0	0	0	0.851
EC01288_0369	0	0	0	0	0.917
EC01288_0370	0	0	0	0	2.978
EC01288_0371	0	0	0	0	0.623
EC01288_0372	0	0	0	0	1.157
EC01288_0373	0	0	0	0	0.194
EC01288_0374	0	0	0	0	1.22
EC01288_0375	0	0	0	0	1.094
EC01288_0376	0	0	0	0	0.308
EC01288_0377	0	0	0	0	0.212
EC01288_0378	0	0	0	0	1.094
EC01288_0379	0	0	0	0	0.203
EC01288_0380	0	0	0	0	0.26
EC01288_0381	0	0	0	0	1.415
EC01288_0382	0	0	0	0	0.32
EC01288_0383	0	0	0	0	1.1
EC01288_0384	0	0	0	0	0.809
EC01288_0385	0	0	0	0	0.458
EC01288_0386	258	50	20	224	0.467
EC01288_0387	0	0	0	0	0.191
EC01288_0388	0	0	0	0	0.677
EC01288_0389	0	0	0	0	0.284
EC01288_0390	0	0	0	0	0.173
EC01288_0391	0	0	0	0	0.911
EC01288_0392	0	0	0	0	0.908
EC01288_0393	0	0	0	0	0.134
EC01288_0394	0	0	0	0	1.184
EC01288_0395	0	0	0	0	3.143
EC01288_0396	0	0	0	0	1.202
EC01288_0397	0	0	0	0	0.689
EC01288_0398	0	0	0	0	1.295
EC01288_0399	0	0	0	0	0.149
EC01288_0400	0	0	0	0	1.319
EC01288_0401	0	0	0	0	1.319
EC01288_0402	0	0	0	0	1.814
EC01288_0403	0	0	0	0	0.581
EC01288_0404	0	0	0	0	1.07
EC01288_0405	0	0	0	0	1.127
EC01288_0406	0	0	0	0	0.332
EC01288_0407	0	0	0	0	1.814
EC01288_0408	0	0	0	0	0.971
EC01288_0409	0	0	0	0	0.347
EC01288_0410	0	0	0	0	0.884
EC01288_0411	0	0	0	0	0.539
EC01288_0412	0	0	0	0	0.395
EC01288_0413	0	0	0	0	1.103
EC01288_0414	0	0	0	0	0.47
EC01288_0415	0	0	0	0	0.419
EC01288_0416	0	0	0	0	0.977
EC01288_0417	0	0	0	0	0.518
EC01288_0418	0	0	0	0	0.914
EC01288_0419	0	0	0	0	1.862
EC01288_0420	0	0	0	0	0.899
EC01288_0421	0	0	0	0	0.242
EC01288_0422	0	0	0	0	1.448
EC01288_0423	0	0	0	0	0.59
EC01288_0424	0	0	0	0	0.911
EC01288_0425	0	0	0	0	0.491
EC01288_0426	0	0	0	0	1.292
EC01288_0427	0	0	0	0	0.881
EC01288_0428	0	0	0	0	0.542
EC01288_0429	0	0	0	0	0.311
EC01288_0430	0	0	0	0	0.887
EC01288_0431	0	0	0	0	0.275
EC01288_0432	0	0	0	0	0.515
EC01288_0433	490	490	490	490	1.991
EC01288_0434	0	0	0	0	0.887
EC01288_0435	0	0	0	0	1.475
EC01288_0436	0	0	0	0	0.578
EC01288_0437	0	0	0	0	0.194
EC01288_0438	0	0	0	0	0.188
EC01288_0439	0	0	0	0	1.298
EC01288_0440	0	0	0	0	0.623
EC01288_0441	0	0	0	0	1.274
EC01288_0442	0	0	0	0	2.354
EC01288_0443	0	0	0	0	0.272
EC01288_0444	0	0	0	0	1.871
EC01288_0445	0	0	0	0	0.371
EC01288_0446	0	0	0	0	0.398
EC01288_0447	0	0	0	0	0.695
EC01288_0448	0	0	0	0	1.7
EC01288_0449	0	0	0	0	0.818
EC01288_0450	0	0	0	0	0.458
EC01288_0451	0	0	0	0	1.772
EC01288_0452	0	0	0	0	1.781
EC01288_0453	0	0	0	0	0.14
EC01288_0454	0	0	0	0	0.338
EC01288_0455	0	0	0	0	1.286
EC01288_0456	0	0	0	0	0.86
EC01288_0457	0	0	0	0	0.122
EC01288_0458	0	0	0	0	0.557
EC01288_0459	0	0	0	0	0.311
EC01288_0460	0	0	0	0	0.353
EC01288_0461	0	0	0	0	1.55
EC01288_0462	0	0	0	0	0.47
EC01288_0463	0	0	0	0	0.53
EC01288_0464	0	0	0	0	0.218
EC01288_0465	0	0	0	0	0.374
EC01288_0466	0	0	0	0	3.149
EC01288_0467	0	0	0	0	1.085
EC01288_0468	0	0	0	0	0.647
EC01288_0469	0	0	0	0	3.356
EC01288_0470	0	0	0	0	0.161
EC01288_0471	0	0	0	0	0.527
EC01288_0472	0	0	0	0	0.377
EC01288_0473	0	0	0	0	0.551
EC01288_0474	0	0	0	0	1.931
EC01288_0475	0	0	0	0	0.329
EC01288_0476	0	0	0	0	0.605
EC01288_0477	0	0	0	0	1.874
EC01288_0478	25	263	293	57	0.644
EC01288_0479	0	0	0	0	0.962
EC01288_0480	0	0	0	0	0.959
EC01288_0481	0	0	0	0	1.304
EC01288_0482	0	0	0	0	1.676
EC01288_0483	0	0	0	0	1.22
EC01288_0484	0	0	0	0	1.652
EC01288_0485	0	0	0	0	0.479
EC01288_0486	0	0	0	0	0.794
EC01288_0487	0	0	0	0	0.341
EC01288_0488	0	0	0	0	2.504
EC01288_0489	0	0	0	0	0.932
EC01288_0490	0	0	0	0	1.292
EC01288_0491	0	0	0	0	0.407
EC01288_0492	0	0	0	0	0.455
EC01288_0493	0	0	0	0	0.917
EC01288_0494	0	0	0	0	0.677
EC01288_0495	0	0	0	0	0.779
EC01288_0496	0	0	0	0	0.854
EC01288_0497	0	0	0	0	0.77
EC01288_0498	0	0	0	0	0.623
EC01288_0499	0	0	0	0	0.686
EC01288_0500	0	0	0	0	2.414
EC01288_0501	0	0	0	0	0.268
EC01288_0502	0	0	0	0	1.16
EC01288_0503	0	0	0	0	0.214
EC01288_0504	0	0	0	0	1.572
EC01288_0505	0	0	0	0	0.231
EC01288_0506	0	0	0	0	1.017
EC01288_0507	0	0	0	0	0.344
EC01288_0508	0	0	0	0	0.269
EC01288_0509	0	0	0	0	0.371
EC01288_0510	0	0	0	0	1.094
EC01288_0511	0	0	0	0	0.926
EC01288_0512	0	0	0	0	0.482
EC01288_0513	0	0	0	0	0.77
EC01288_0514	0	0	0	0	1.751
EC01288_0515	0	0	0	0	0.776
EC01288_0516	0	0	0	0	0.878
EC01288_0517	0	0	0	0	1.454
EC01288_0518	0	0	0	0	1.361
EC01288_0519	0	0	0	0	1.301
EC01288_0520	0	0	0	0	1.145
EC01288_0521	0	0	0	0	0.785
EC01288_0522	311	311	311	311	1.235
EC01288_0523	0	0	0	0	1.049
EC01288_0524	0	0	0	0	1.667
EC01288_0525	0	0	0	0	1.259
EC01288_0526	0	0	0	0	0.815
EC01288_0527	0	0	0	0	0.893
EC01288_0528	0	0	0	0	1.067
EC01288_0529	0	0	0	0	0.509
EC01288_0530	0	0	0	0	0.722
EC01288_0531	0	0	0	0	0.494
EC01288_0532	0	0	0	0	1.385
EC01288_0533	0	0	0	0	0.521
EC01288_0534	0	0	0	0	0.212
EC01288_0535	0	0	0	0	0.866
EC01288_0536	0	0	0	0	0.542
EC01288_0537	0	0	0	0	0.692
EC01288_0538	0	0	0	0	1.931
EC01288_0539	0	0	0	0	0.401
EC01288_0540	0	0	0	0	0.977
EC01288_0541	0	0	0	0	0.425
EC01288_0542	0	0	0	0	0.632
EC01288_0543	0	0	0	0	0.076
EC01288_0544	0	0	0	0	1.163
EC01288_0545	0	0	0	0	0.215
EC01288_0546	0	0	0	0	0.113
EC01288_0547	0	0	0	0	0.524
EC01288_0548	0	0	0	0	0.145
EC01288_0549	0	0	0	0	0.419
EC01288_0550	0	0	0	0	0.251
EC01288_0551	0	0	0	0	0.026
EC01288_0552	0	0	0	0	0.296
EC01288_0553	0	0	0	0	0.143
EC01288_0554	0	0	0	0	0.368
EC01288_0555	0	0	0	0	0.47
EC01288_0556	0	0	0	0	0.383
EC01288_0557	0	0	0	0	0.113
EC01288_0558	0	0	0	0	0.704
EC01288_0559	0	0	0	0	0.07
EC01288_0560	0	0	0	0	0.295
EC01288_0561	0	0	0	0	0.413
EC01288_0562	0	0	0	0	0.59
EC01288_0563	0	0	0	0	0.266
EC01288_0564	0	0	0	0	0.305
EC01288_0565	0	0	0	0	1.484
EC01288_0566	0	0	0	0	0.653
EC01288_0567	0	0	0	0	0.191
EC01288_0568	0	0	0	0	0.761
EC01288_0569	0	0	0	0	0.89
EC01288_0570	0	0	0	0	2.972
EC01288_0571	0	0	0	0	2.237
EC01288_0572	0	0	0	0	0.022
EC01288_0573	0	0	0	0	0.311
EC01288_0574	0	0	0	0	0.209
EC01288_0575	0	0	0	0	0.635
EC01288_0576	0	0	0	0	0.44
EC01288_0577	0	0	0	0	2.354
EC01288_0578	0	0	0	0	0.344
EC01288_0580	0	0	0	0	0.237
EC01288_0581	0	0	0	0	1.951
EC01288_0582	0	0	0	0	0.461
EC01288_0583	0	0	0	0	1.688
EC01288_0584	0	0	0	0	0.284
EC01288_0585	0	0	0	0	1.448
EC01288_0586	0	0	0	0	0.683
EC01288_0587	0	0	0	0	1.352
EC01288_0588	0	0	0	0	0.332
EC01288_0589	0	0	0	0	1.223
EC01288_0590	0	0	0	0	3.143
EC01288_0591	0	0	0	0	1.376
EC01288_0592	0	0	0	0	1.247
EC01288_0593	0	0	0	0	0.653
EC01288_0594	0	0	0	0	0.368
EC01288_0595	0	0	0	0	0.248
EC01288_0596	0	0	0	0	1.118
EC01288_0597	0	0	0	0	0.152
EC01288_0598	0	0	0	0	0.134
EC01288_0599	0	0	0	0	0.152
EC01288_0600	0	0	0	0	0.629
